EmergencyErrorCode,Group,Event,Description,Event_ID
0x5412,Open Drain Output,ShortCircuitCh2,"

      

        Description

        Set when HW Short Circuit signal is detected. Disabling of output required to clear event.

        When is event evaluated

        When Open Drain output is enabled. Checked at 50Hz. Signal is reset once and if signal  

        becomes active again within 100ms the event is set and output is latched in tripped state.

        Related parameters

        No related parameters.

      

      ",1002
0x5452,Open Drain Output,NotConnectedCh2,"

        

        Description

        Set when measured current is below the NotConnectedLevel.

        When is event evaluated

        When Open Drain output is enabled. In current control mode the CurrentReference has to be 75mA above the 

        NotConnectedLevel for the event to be evaluated. In manual and voltage control mode the duty cycle has to be above 25%. 

        Related parameters

        OpenDrainOutputNotConnectedLevel, NotConnectedLevel

        

      ",1012
0x5412,Open Drain Output,HighCurrentCh2,"

    	

        Description

        Set when Peak Overcurrent or Overload is detected.

        When is event evaluated

        When Open Drain output is enabled. Peak trip level detected within 1-5ms ms and 

        Overload after 10s of overload condition.

        Related parameters

        OpenDrainOutputPeakCurrentLevel, PeakCurrentLevel

        OpenDrainOutputOverloadCurrentLevel, OverloadCurrentLevel

    	

      ",1022
0x5462,Open Drain Output,CurrMeasWhenOffCh2,"

        

        Description

        Set when more than 200 mA current is measured when the output should be off.

        When is event evaluated

        When Open Drain output is not enabled (i.e. disabled or tripped).

        Related parameters

        No related parameters.

    	

      ",1032
0x5413,Open Drain Output,ShortCircuitCh3,"

      

        Description

        Set when HW Short Circuit signal is detected. Disabling of output required to clear event.

        When is event evaluated

        When Open Drain output is enabled. Checked at 50Hz. Signal is reset once and if signal  

        becomes active again within 100ms the event is set and output is latched in tripped state.

        Related parameters

        No related parameters.

      

      ",1003
0x5413,Open Drain Output,HighCurrentCh3,"

        

        Description

        Set when Peak Overcurrent or Overload is detected.

        When is event evaluated

        When Open Drain output is enabled. Peak trip level detected within 1-5ms ms and 

        Overload after 10s of overload condition.

        Related parameters

        OpenDrainOutputPeakCurrentLevel, PeakCurrentLevel

        OpenDrainOutputOverloadCurrentLevel, OverloadCurrentLevel

        

      ",1023
0x5453,Open Drain Output,NotConnectedCh3,"

        

        Description

        Set when measured current is below the NotConnectedLevel.

        When is event evaluated

        When Open Drain output is enabled. In current control mode the CurrentReference has to be 75mA above the 

        NotConnectedLevel for the event to be evaluated. In manual and voltage control mode the duty cycle has to be above 25%. 

        Related parameters

        OpenDrainOutputNotConnectedLevel, NotConnectedLevel

        

      ",1013
0x5463,Open Drain Output,CurrMeasWhenOffCh3,"

        

        Description

        Set when more than 200 mA current is measured when the output should be off.

        When is event evaluated

        When Open Drain output is not enabled (i.e. disabled or tripped).

        Related parameters

        No related parameters.

    	

      ",1033
0x5414,Open Drain Output,ShortCircuitCh4,"

      

        Description

        Set when HW Short Circuit signal is detected. Disabling of output required to clear event.

        When is event evaluated

        When Open Drain output is enabled. Checked at 50Hz. Signal is reset once and if signal  

        becomes active again within 100ms the event is set and output is latched in tripped state.

        Related parameters

        No related parameters.

      

      ",1004
0x5414,Open Drain Output,HighCurrentCh4,"

        

        Description

        Set when Peak Overcurrent or Overload is detected.

        When is event evaluated

        When Open Drain output is enabled. Peak trip level detected within 1-5ms ms and 

        Overload after 10s of overload condition.

        Related parameters

        OpenDrainOutputPeakCurrentLevel, PeakCurrentLevel

        OpenDrainOutputOverloadCurrentLevel, OverloadCurrentLevel

        

      ",1024
0x5454,Open Drain Output,NotConnectedCh4,"

        

        Description

        Set when measured current is below the NotConnectedLevel.

        When is event evaluated

        When Open Drain output is enabled. In current control mode the CurrentReference has to be 75mA above the 

        NotConnectedLevel for the event to be evaluated. In manual and voltage control mode the duty cycle has to be above 25%. 

        Related parameters

        OpenDrainOutputNotConnectedLevel, NotConnectedLevel

    	

      ",1014
0x5464,Open Drain Output,CurrMeasWhenOffCh4,"

        

        Description

        Set when more than 200 mA current is measured when the output should be off.

        When is event evaluated

        When Open Drain output is not enabled (i.e. disabled or tripped).

        Related parameters

        No related parameters.

    	

      ",1034
0x5415,Open Drain Output,ShortCircuitCh5,"

      

        Description

        Set when HW Short Circuit signal is detected. Disabling of output required to clear event.

        When is event evaluated

        When Open Drain output is enabled. Checked at 50Hz. Signal is reset once and if signal  

        becomes active again within 100ms the event is set and output is latched in tripped state.

        Related parameters

        No related parameters.

      

      ",1005
0x5415,Open Drain Output,HighCurrentCh5,"

        

        Description

        Set when Peak Overcurrent or Overload is detected.

        When is event evaluated

        When Open Drain output is enabled. Peak trip level detected within 1-5ms ms and 

        Overload after 10s of overload condition.

        Related parameters

        OpenDrainOutputPeakCurrentLevel, PeakCurrentLevel

        OpenDrainOutputOverloadCurrentLevel, OverloadCurrentLevel

        

      ",1025
0x5455,Open Drain Output,NotConnectedCh5,"

        

        Description

        Set when measured current is below the NotConnectedLevel.

        When is event evaluated

        When Open Drain output is enabled. In current control mode the CurrentReference has to be 75mA above the 

        NotConnectedLevel for the event to be evaluated. In manual and voltage control mode the duty cycle has to be above 25%. 

        Related parameters

        OpenDrainOutputNotConnectedLevel, NotConnectedLevel

        

      ",1015
0x5465,Open Drain Output,CurrMeasWhenOffCh5,"

        

        Description

        Set when more than 200 mA current is measured when the output should be off.

        When is event evaluated

        When Open Drain output is not enabled (i.e. disabled or tripped).

        Related parameters

        No related parameters.

    	

      ",1035
0x5416,Open Drain Output,ShortCircuitCh6,"

      

        Description

        Set when HW Short Circuit signal is detected. Disabling of output required to clear event.

        When is event evaluated

        When Open Drain output is enabled. Checked at 50Hz. Signal is reset once and if signal  

        becomes active again within 100ms the event is set and output is latched in tripped state.

        Related parameters

        No related parameters.

      

      ",1006
0x5416,Open Drain Output,HighCurrentCh6,"

      

        Description

        Set when Peak Overcurrent or Overload is detected.

        When is event evaluated

        When Open Drain output is enabled. Peak trip level detected within 1-5ms ms and 

        Overload after 10s of overload condition.

        Related parameters

        OpenDrainOutputPeakCurrentLevel, PeakCurrentLevel

        OpenDrainOutputOverloadCurrentLevel, OverloadCurrentLevel

      

      ",1026
0x5456,Open Drain Output,NotConnectedCh6,"

        

        Description

        Set when measured current is below the NotConnectedLevel.

        When is event evaluated

        When Open Drain output is enabled. In current control mode the CurrentReference has to be 75mA above the 

        NotConnectedLevel for the event to be evaluated. In manual and voltage control mode the duty cycle has to be above 25%. 

        Related parameters

        OpenDrainOutputNotConnectedLevel, NotConnectedLevel

    	      ",1016
0x5466,Open Drain Output,CurrMeasWhenOffCh6,"

        

        Description

        Set when more than 200 mA current is measured when the output should be off.

        When is event evaluated

        When Open Drain output is not enabled (i.e. disabled or tripped).

        Related parameters

        No related parameters.

    	

      ",1036
0x5500,HighSideDiagnostics,HighSideShC,"

      

        Description

        Set when HW Short Circuit signal is detected. Disabling of output required to clear event.

        When is event evaluated

        When High Side output is enabled. Checked at 50Hz. Signal is reset once and if signal  

        becomes active again within 100ms the event is set and output is latched in tripped state.

        Related parameters

        No related parameters.

      

    ",1100
0x5508,HighSideDiagnostics,HighSideOverload,"

      

        Description

        High continuous current on High side out.

        When is event evaluated

        Always

        Related parameters

        HighSide, HighSideOverloadCurrentLevel

        HighSide, HighSideOutCurrent

      

    ",1108
0x5509,HighSideDiagnostics,HighSideHighPeakCurr,"

      

        Description

        High peak current on High side out.

        When is event evaluated

        Always

        Related parameters

        HighSide, HighSidePeakCurrentLevel

        HighSide, HighSideOutCurrent       

      

    ",1109
0x8101,CAN,Pdo1Timeout,"

    

     Description

     Event is set if Rx PDO 1 is not received within timeout time.

     When is event evaluated

     When NMT state is pre-operational or operational.

     Related parameters

     CANParameters, Pdo1Timeout    

    

   ",1200
0x8102,CAN,Pdo2Timeout,"

    

     Description

     Event is set if Rx PDO 2 is not received within timeout time.

     When is event evaluated

     Always

     Related parameters

     CANParameters, Pdo2Timeout    

    

   ",1201
0x8103,CAN,Pdo3Timeout,"

    

     Description

     Event is set if Rx PDO 3 is not received within timeout time.

     When is event evaluated

     Always

     Related parameters

     CANParameters, Pdo3Timeout    

    

   ",1202
0x8104,CAN,Pdo4Timeout,"

    

     Description

     Event is set if Rx PDO 4 is not received within timeout time.

     When is event evaluated

     Always

     Related parameters

     CANParameters, Pdo4Timeout    

    

   ",1203
0x8105,CAN,SynchTimeout,"

    

     Description

     Event is set if Sync is not received within timeout time. 

     When is event evaluated

     Always

     Related parameters 

     CANParameters, SyncTimeout

    

   ",1204
0x8100,CAN,MapError,"

    

     Description

     Event is set if any PDO map has invalid configuration.

     When is event evaluated

     At Startup

     Related parameters

     No related parameters.

    

   ",1205
0x8110,CAN,Sdo1Timeout,"

    

     Description

     Event is set if no SDO messages has been received within the timeout time on SDO1.

     The error detection is started after the first message is received.

     This event is evaluated in an application with no PDOs active. 

     The drive will be disabled on timeout and can not be reenabled.

     When is event evaluated

     Always

     Related parameters

     CANParameters, SdoTimeout

    

   ",1206
0x8111,CAN,Sdo2Timeout,"

    

     Description

     Event is set if no SDO message has been received within the timeout time on SDO2.

     The error detection is started after the first message is received.     

     This event is evaluated in an application with no PDOs active. 

     The drive will be disabled on timeout and can not be reenabled.

     When is event evaluated

     Always

     Related parameters

     CANParameters, SdoTimeout

    

   ",1207
0x8118,CAN,SDO1SessionBusy,"

    

     Description

     The event is set when an SDO1 request is not finished and a new SDO1 request is received.

     When is event evaluated

     Always

     Related parameters

    

   ",1208
0x8119,CAN,SDO2SessionBusy,"

    

     Description

     The event is set when an SDO2 request is not finished and a new SDO2 request is received.

     When is event evaluated

     Always

     Related parameters

    

   ",1209
,CAN,BusOff,"

    

     Description

     Event is set if CAN chip on MCU has entered Bus Off state at least once since reset of unit.

     Reset of unit is required to clear event.

     When is event evaluated

     After startup sequence.

     Related parameters

     No related parameters.

    

   ",1220
,Cpu,RecoveredReadError,"

        

        Description

        Fault is set if there is a checksum error on any eeprom segment with checksum and that the segment has been successfully read during a retry.  

        It is then considered a read error. This could indicate EMC problems for example.

        When is event evaluated

        Whenever eeprom parameters are read. Typically at Startup

        Related parameters

        No related parameters.

        

      ",1401
0x5520,Cpu,ChecksumError,"

        

        Description

        Fault is set if there is a checksum error on any eeprom segment with checksum.

        Some segments also have idividual checksum error events. 

        Some segments also have a default values event that will be set in case of checksum error on that segment.

        Typically calibration data segments has default values event.

        When is event evaluated

        At Startup

        Related parameters

        No related parameters.

        

      ",1403
0x5521,Cpu,ChecksumErrorOnSensorAngleOffset,"

        

        Description

        Event is set if if checksum error has occured on sensor angle offset related eeprom segment (see SFIFMG_CAL in EEProm layout).

        When is event evaluated

        At startup.

        Related parameters

        FeedbackSensor, SensorAngleOffset

        

      ",1420
0x5524,Cpu,ChecksumErrorOnCANTalk,"

        

        Description

        Event is set if if checksum error has occured on CANTalk eeprom segment (see CTLKCM in EEProm layout).

        When is event evaluated

        At startup

        Related parameters

        No related parameters.

        

      ",1423
,Cpu,DefaultValues,"

        

        Description

        Fault is set if new SW is downloaded, HW id is changed or there is a 

        checksum error on the systmg eeprom segment.

        When is event evaluated

        At Startup

        Related parameters

        No related parameters.

        

      ",1402
0x8403,Cpu,PowerOutReset,"

        

        Description

        MCU was unintentionally reset due to low 3.3V powersupply. 

        Event also needs to be supported by boot sw. 

        When is event evaluated

        At startup

        Event is cleared after 2 seconds.

        Related parameters

        No related parameters.

        

      ",1400
0x8404,Cpu,BrownOutReset,"

        

        Description

        MCU was unintentionally reset due to low 3.3V powersupply. 

        Event also needs to be supported by boot sw. 

        When is event evaluated

        At startup

        Event is cleared after 2 seconds.

        Related parameters

        No related parameters.

        

      ",1404
0x8400,Cpu,I_WatchdogTimeout,"

        

        Description

        MCU internal Independent watchdog not reset in time causing the MCU to reset.

        When is event evaluated

        At startup

        Event is cleared after 2 seconds.

        Related parameters

        No related parameters.

        

      ",1406
0x8401,Cpu,W_WatchdogTimeout,"

        

        Description

        MCU internal Windowed watchdog not reset in time or reset too early causing the MCU to reset.

        When is event evaluated

        At startup

        Event is cleared after 2 seconds.

        Related parameters

        No related parameters.

        

      ",1407
0x8410,Cpu,ExeTimeHigh_4kHz,"

        

        Description

        Set when average execution time is higher than 200U   us.

        When is event evaluated

        Always

        Related parameters

        No related parameters.

        

      ",1409
0x8411,Cpu,ExeTimeHigh_50Hz,"

        

        Description

        Set when average execution time is higher than 6000U  us.

        When is event evaluated

        Always

        Related parameters

        No related parameters.

        

      ",1410
0x8412,Cpu,ExeTimeHigh_IndependentSupervision,"

        

        Description

        Set when average execution time is higher than 500U   us.

        When is event evaluated

        Always

        Related parameters

        No related parameters.

        

      ",1411
0x8413,Cpu,ExeTimeHigh_CAN,"

        

        Description

        Set when average execution time is higher than 1000U  us.

        When is event evaluated

        Always

        Related parameters

        No related parameters.

        

      ",1412
0x8414,Cpu,ExeTimeHigh_SlowApp,"

        

        Description

        Set when average execution time is higher than 4000U  us.

        When is event evaluated

        Always

        Related parameters

        No related parameters.

        

      ",1413
0x8415,Cpu,ExeTimeHigh_FastApp,"

        

        Description

        Set when average execution time is higher than 500U   us.

        When is event evaluated

        Always

        Related parameters

        No related parameters.

        

      ",1414
0x8416,Cpu,ExeTimeModHigh_SlowApp,"

        

        Description

        Set when average execution time is higher than 2500U   us.

        When is event evaluated

        Always

        Related parameters

        No related parameters.

        

      ",1415
0x8417,Cpu,ExeTimeModHigh_FastApp,"

        

        Description

        Set when average execution time is higher than 250U   us.

        When is event evaluated

        Always

        Related parameters

        No related parameters.

        

      ",1416
0x8450,Cpu,InternalError,"

        

        Description

        Internal error occurred. It is most likely a static configuration error that is not caught at compile time, such as

        

         Impossible configuration in flash memory.

         Illegal ErrorBit configured for an event 

         Same EventId on two different event.

        

        But it can also be set by various state machines when an unknown state is encountered.

        See Related Parameters for more information regarding error condition, i.e. module name, line and count.

        When is event evaluated

        Startup

        Related parameters

        RTOS, InternalDebugModuleName

        RTOS, InternalDebugLineNumber

        RTOS, InternalDebugCount

        

      ",1450
0x8452,Cpu,BootInternalError,"

        

        Description

        Internal error occurred in boot. It may occure if an incompatible application is running with the boot code.

        When is event evaluated

        Startup

        Related parameters

        RTOS.BootInternalDebugModuleName

        RTOS.BootInternalDebugLineNumber

        RTOS.BootInternalDebugCount

        

      ",1451
0x8451,Cpu,ClockFailure,"

        

        Description

        CPU clock failure. Either External crystal or internal PLL failed to generate a stable clock.

        CPU will be clocked by the internal 8MHz RC-oscillator.

        When is event evaluated

        Always

        Related parameters

        No related parameters.

        

      ",1460
0x3301,InternalSupply,15VOutOfRange,"

        

        Description

        Internal 15V supply out of range. Valid range 10.56 to 19.00V.

        When is event evaluated

        Always

        Related parameters

        InternalVoltageSupplies, 15V

        

      ",1700
0x3302,InternalSupply,5VOutOfRange,"

        

        Description

        Internal 5V supply out of range. Valid range 4.12 to 5.88V.

        When is event evaluated

        Always

        Related parameters

        InternalVoltageSupplies, 5V

        

      ",1701
0x3302,InternalSupply,3V3Low,"

        

        Description

        Internal 3.3V supply too low. Limit 2.9V. Uses MCU internal PVD (Programmable Voltage Detection).

        A flag is set by MCU hardware and event is set when VDD is below the limit and cleared if above.

        Hysteresis is 100mV

        When is event evaluated

        Always

        Related parameters

        No related parameters.

        

      ",1702
,InternalSupply,KeyLow,"

      

       Description

       Restart event used to disable drive when key goes low. Drive is enabled again if key goes high withing 175ms. If key is low more than that drive will enter AFTERRUN state.

       When is event evaluated

       Always

       Related parameters

       No related parameters.

      

     ",1703
0x3311,InternalSupply,AnalogSup1Range,"

        

        Description

        Analog supply 1 out of range. Valid range 4.00 to 6.00 V.

        When is event evaluated

        Always

        Related parameters

        InternalVoltageSupplies, AnalogSupply1Voltage

        

      ",1710
0x3312,InternalSupply,AnalogSup1SHC,"

        

        Description

        Analog supply 1 short circuit. Limit 100 mA.

        When is event evaluated

        Always

        Related parameters

        InternalVoltageSupplies, AnalogSupply1Current

        

      ",1711
0x7221,InternalSupply,SensorSupNotCon,"

      

        Description

        Fault is set if 12V Sensor Supply current is too low. Limit 6mA. 

        Note: If you have multiple sensors connected to this supply this event might only be set if all devices are disconnected.

        It will then depend on detection limit and current consumption in connected devices.

        When is event evaluated

        Always

        Related parameters

        InternalVoltageSupplies, SensorSupplyCurrent

      

    ",800
0x7220,InternalSupply,SensorSupSHC,"

      

        Description

        Fault is set if 12V Sensor Supply current is too high. Limit 68mA.

        When is event evaluated

        Always

        Related parameters

        InternalVoltageSupplies, SensorSupplyCurrent

      

    ",801
0x7231,InternalSupply,SensorSupRange,"

      

        Description

        12V Sensor Supply voltage out of range. Valid range 10.00 to 14.00 V.

        When is event evaluated

        Always

        Related parameters

        InternalVoltageSupplies, SensorSupplyVoltage 

        InternalVoltageSupplies, SensorSupplyGain 

      

    ",811
0x7230,InternalSupply,SensSupRefRange,"

      

        Description

        12V Sensor Supply Ref voltage out of range. Valid range 10.00 to 14.00 V.

        When is event evaluated

        Always

        Related parameters

        InternalVoltageSupplies, SensorSupplyRefVoltage 

        InternalVoltageSupplies, SensorSupplyRefGain

      

    ",810
,InternalSupply,DefaultValues,"

    

      Description

      Default calibration values for Sensor Supply gains are loaded from Eeprom 

      (either checksum error on segment or commanded by user).

      When is event evaluated

      At startup.

      Related parameters

      InternalVoltageSupplies, SensorSupplyRefGain

      InternalVoltageSupplies, SensorSupplyGain 

    

   ",830
0x3330,InternalSupply,ExtGndTripped,"

    

      Description

      Set when HW EXT_GND_TRIP signal is detected. Reset of node required to clear error. Events related to speed feedback and motor temp measurement may follow this event.

      When is event evaluated

      Always

      Related parameters

      No related Parameters.

    

   ",1730
,Application,ExampleEvent,"

        

        Description

        The Measured Value is above the ExampleValue limit.

        When is event evaluated

        Always and in 50 Hz

        Related parameters

        ApplicationParameters.ExampleValue,.

        

      ",10000
0x8420,StartupTest,CpuTest,"

        

        Description

        Startup test of CPU failed. 

        When is event evaluated

        At Startup

        Related parameters

        No related parameters.

        

      ",1900
0x8420,StartupTest,Watchdog,"

        

        Description

        Startup test of Watchdog failed. 

        When is event evaluated

        At Startup

        Related parameters

        No related parameters.

        

      ",1901
0x8420,StartupTest,64MHzHSI,"

        

        Description

        Startup test of 64 MHz HSI failed. 

        When is event evaluated

        At Startup

        Related parameters

        No related parameters.

        

      ",1902
0x8420,StartupTest,Checkpoint1,"

        

        Description

        Startup test of Checkpoint1 Control flow failed. 

        When is event evaluated

        At Startup

        Related parameters

        No related parameters.

        

      ",1903
0x8420,StartupTest,FullRamMarch,"

        

        Description

        Startup test of Full Ram March failed. 

        When is event evaluated

        At Startup

        Related parameters

        No related parameters.

        

      ",1904
0x8420,StartupTest,SwitchOffPll,"

        

        Description

        Startup failed do switch off PLL. 

        When is event evaluated

        At Startup

        Related parameters

        No related parameters.

        

      ",1905
0x8420,StartupTest,LsiStart,"

        

        Description

        Failed to start LSI. 

        When is event evaluated

        At Startup

        Related parameters

        No related parameters.

        

      ",1906
0x8420,StartupTest,HseStart,"

        

        Description

        Failed to start HSE. 

        When is event evaluated

        At Startup

        Related parameters

        No related parameters.

        

      ",1907
0x8420,StartupTest,HsiHse,"

        

        Description

        Startup test of HSI HSE switch failed. 

        When is event evaluated

        At Startup

        Related parameters

        No related parameters.

        

      ",1908
0x8420,StartupTest,ExtSource,"

        

        Description

        Startup test of Ext source failed. 

        When is event evaluated

        At Startup

        Related parameters

        No related parameters.

        

      ",1909
0x8420,StartupTest,ClockFreq,"

        

        Description

        Startup test of Clock frequency failed. 

        When is event evaluated

        At Startup

        Related parameters

        No related parameters.

        

      ",1910
0x8420,StartupTest,Checkpoint2,"

        

        Description

        Startup test of Checkpoint2 Control flow failed. 

        When is event evaluated

        At Startup

        Related parameters

        No related parameters.

        

      ",1911
